file_name,status,freq_e,freq_c,freq_o,freq_a,freq_g,freq_p,freq_n,freq_r,freq_v,freq_t,freq_h,freq_k,freq_s,freq_l,freq_y,freq_q
CH-117732-A_full.pdf,ok,18.91,2.73,1.79,3.73,3.26,0.84,10.14,7.67,1.63,6.51,4.46,0.89,6.78,2.52,0.0,0.16
CH-120439-A_full.pdf,ok,17.34,4.36,1.7,4.95,4.47,1.44,9.04,7.29,0.59,4.84,4.63,1.97,5.9,2.98,0.0,0.0
CH-121251-A_full.pdf,ok,13.93,2.28,4.44,5.75,2.11,1.73,9.38,7.91,0.81,7.26,3.2,1.52,5.91,4.77,0.6,0.0
CH-122915-A_full.pdf,ok,13.56,2.32,4.58,6.17,2.21,1.32,9.92,7.72,0.77,7.22,3.2,1.65,6.06,4.58,0.55,0.0
CH-128084-A_full.pdf,ok,17.58,2.94,0.8,4.54,4.12,1.07,10.37,5.51,0.75,8.98,4.33,1.82,6.84,2.51,0.11,0.0
CH-131917-A_full.pdf,ok,17.08,3.17,1.99,5.32,3.33,1.02,8.81,7.14,0.97,5.75,4.83,0.97,6.87,4.19,0.0,0.05
CH-132767-A4_full.pdf,ok,16.14,4.56,5.6,7.07,1.36,3.26,7.62,6.35,0.66,8.17,1.39,0.06,7.02,4.16,0.12,1.1
CH-140511-A_full.pdf,ok,15.91,3.9,5.2,5.5,0.83,4.08,7.57,7.87,0.77,7.98,0.47,0.0,6.15,6.21,0.06,1.36
CH-142060-A4_full.pdf,ok,15.16,3.96,1.54,6.15,3.96,1.54,8.35,8.79,0.66,7.47,4.84,0.88,7.91,3.74,0.22,0.0
CH-149769-A4_full.pdf,ok,15.46,2.56,3.11,5.95,2.64,1.25,11.38,8.54,1.25,5.23,3.36,1.02,5.63,3.16,0.1,0.05
CH-158367-A_full.pdf,ok,17.15,2.33,2.33,5.03,5.29,1.43,10.48,7.25,1.11,6.56,3.71,1.11,5.51,3.07,0.0,0.0
CH-164091-A_full.pdf,ok,17.07,2.69,2.87,4.6,2.21,1.25,10.99,5.31,1.25,7.7,4.24,0.9,7.58,6.27,0.66,0.0
CH-16799-A_full.pdf,ok,14.71,3.5,4.85,8.16,0.25,3.3,6.81,6.56,1.45,7.01,0.95,0.05,8.46,6.26,0.05,0.85
CH-182108-A_full.pdf,ok,16.2,3.12,4.46,6.36,1.41,3.12,8.19,6.85,2.32,7.27,0.49,0.06,6.72,5.99,0.06,0.86
CH-185147-A_full.pdf,ok,14.93,2.71,4.58,5.76,2.57,1.18,9.93,7.43,1.18,6.46,4.24,1.11,5.42,4.24,0.9,0.0
CH-1856272-A4_full.pdf,ok,14.47,4.16,3.07,5.79,4.88,0.9,8.86,6.87,0.9,7.96,4.52,0.72,7.59,3.98,0.36,0.0
CH-18890-A_full.pdf,ok,17.53,2.7,2.31,4.14,3.47,0.53,11.07,6.98,1.01,6.07,4.09,0.63,5.78,3.71,0.0,0.05
CH-193948-A_full.pdf,ok,20.7,1.97,2.03,3.89,3.61,1.59,11.83,7.01,0.66,7.45,3.07,0.27,4.71,3.23,0.0,0.05
CH-194215-A_full.pdf,ok,16.02,3.65,1.6,5.19,4.42,1.16,10.94,7.35,0.99,5.97,4.36,0.99,5.91,2.6,0.06,0.0
CH-198560-A_full.pdf,ok,18.57,3.1,2.32,4.48,3.76,0.94,9.62,8.68,0.66,5.97,4.2,1.93,5.09,4.15,0.0,0.0
CH-199900-A_full.pdf,ok,16.92,3.4,2.33,4.56,2.71,1.22,9.55,8.38,1.01,5.57,5.62,2.02,5.25,4.3,0.0,0.64
CH-213375-A_full.pdf,ok,12.32,3.76,2.91,6.5,3.08,1.2,9.84,6.16,0.51,7.1,5.47,0.94,6.67,5.3,0.51,0.0
CH-222277-A_full.pdf,ok,17.93,2.86,1.85,4.71,3.98,0.78,9.02,8.35,1.18,5.32,4.09,1.46,4.26,3.36,0.0,0.0
CH-232164-A_full.pdf,ok,17.66,3.71,0.94,4.6,3.93,0.83,8.47,6.76,0.61,5.54,5.37,1.44,6.92,3.6,0.0,0.0
CH-232385-A_full.pdf,ok,16.99,3.77,1.76,4.75,2.79,1.34,9.19,6.76,0.98,6.09,4.65,1.65,5.16,4.65,0.05,0.15
CH-249317-A_full.pdf,ok,18.15,2.25,1.56,6.48,4.02,0.43,8.86,5.4,0.48,5.45,4.58,0.69,7.26,3.37,0.13,0.22
CH-259011-A_full.pdf,ok,15.44,2.8,5.31,6.69,1.04,4.18,6.43,8.11,1.12,7.68,0.22,0.0,6.21,5.05,0.13,0.65
CH-261212-A_full.pdf,ok,15.42,3.58,3.71,7.92,1.39,3.5,7.54,6.4,1.01,8.76,0.76,0.0,6.57,5.81,0.13,0.59
CH-262932-A_full.pdf,ok,18.73,2.04,1.15,4.88,3.86,1.36,11.3,7.52,1.32,5.27,3.48,1.19,7.05,2.8,0.0,0.13
CH-267142-A_full.pdf,ok,17.28,2.81,1.51,5.3,4.81,0.61,9.42,6.85,1.14,5.67,4.28,1.1,6.77,3.63,0.0,0.0
CH-279492-A_full.pdf,ok,15.15,3.19,4.53,6.75,1.05,3.64,8.12,7.11,1.25,6.91,0.69,0.0,6.71,6.02,0.04,0.85
